latitude,longitude,commentaire
46.94744283843314, 7.442554011940957, comment
46.9480924913214, 7.444090247154237, abc
46.94865565491713, 7.443935349583627, comment
46.949579469657216, 7.442452758550645, comment
46.949849552234184, 7.441623955965043, comment
46.950030943544135, 7.441215589642526, comment
46.94784142764427, 7.440841086208821, Heiliggeistkirche
46.94798839255211, 7.4416179209947595, Spitalgasse 36/38
46.94810913569509, 7.442297860980035, comment
46.947989171137955, 7.442652583122254, comment
46.94720133040094, 7.443603426218034, comment
46.948223927410616, 7.444333489984275, Anna-Seiler-Brunnen
46.94784740782033, 7.446203157305718, Marktgasspassage 1/3; Marktgasse 21/23
46.94801384796085, 7.446407675743104, comment
46.94800657389357, 7.4466410279274,  Marktgasse 10
46.94735548536733, 7.4462051689624795, comment
46.94791083784231, 7.447589859366418, comment
46.94845238604554, 7.44730655103922, comment
46.94675496459437, 7.444070130586625, comment
46.94870533013331, 7.451926320791245, comment
46.94859720725609, 7.452158331871034, comment
46.94862867880948, 7.4527276307344446, comment
46.9487173122954, 7.453208416700364, comment
46.94867268909126, 7.452863082289697, comment
46.94872187294253, 7.453386113047601, comment
46.9487678974612, 7.4536412581801414, comment
46.948601280492504, 7.453448474407197, comment
46.948577676424186, 7.453130967915059, comment
46.94793361430564, 7.452012822031976, comment
46.94756173151415, 7.45218113064766, comment
46.947550277585165, 7.451981306076051, comment
46.94794955263752, 7.452426552772523, comment
46.94836060499016, 7.452360838651658, comment
46.94761254802914, 7.452802062034608, comment
46.94752636971075, 7.452838271856309, comment
46.94761812606673, 7.4536335468292245, comment
46.947568498172046, 7.45325267314911, comment
46.94769823583265, 7.454099580645562, comment
46.9477609277175, 7.453942000865937, comment
46.9477975801374, 7.454098239541055, comment
46.94785333200344, 7.454367130994798, comment
46.94797245207069, 7.454667538404466, comment
46.948068597441576, 7.455342113971711, comment
46.948462218380556, 7.455725669860841, comment
46.94848873603, 7.4553582072258004, comment
46.94843009290337, 7.455068528652191, comment
46.94847283086428, 7.454604506492616, comment
46.94843604099036, 7.454412057995797, Gerichtigkeitsgasse 43
46.948405344956555, 7.454271577298642, comment
46.949013609348704, 7.454908266663552, comment
46.94836436999507, 7.454006373882295, comment
46.94833688097361, 7.453878968954087, comment
46.94815009356321, 7.453893721103669, comment
46.9481271859546, 7.453815937042237, comment
46.94821881633023, 7.454277276992799, comment
46.94890083585792, 7.446748986840249, comment
46.94855260156475, 7.446850240230561, Schmiedenplatz 3
46.94875293994722, 7.446425780653954, Zeughausgasse 9
46.94879922653456, 7.445932924747468, Zeughausgasse 17
46.94804603372181, 7.444467768073083, Marktgasse 59
46.94805201769306, 7.445578202605248,  Marktgasse 32
46.94867797684515, 7.440876290202142, Bahnhofplatz 1-11
46.952208979613445, 7.442378997802735, Lorrainebrücke
46.95401101037557, 7.445067241787911, LorraineBrücke
46.95009541369851, 7.444433581954468, Waisenhausplatz 32
46.950141259852444, 7.444019181968301, Waisenhausplatz 30
46.94974221069908, 7.4447018331949275, Meret-Oppenheim-Brunnen
46.949566898998434, 7.445060240251401,  Nägeligasse 11
46.94894850238186, 7.448836457307851, Brunngasse 52
46.94896579139995, 7.4491603386354495, Brunngasse 44
46.94856258260143, 7.450544027736386, Rathausgasse 22
46.94835951845935, 7.45926901711469, Nydeggbrücke
46.94858236834438, 7.457693151119595, Nydeggbrücke
46.94880980116206, 7.456191678819662, Gerichtigkeitsgasse 2
46.94804929159817, 7.451472693912504, Kramgasse 14
46.94805050763172, 7.45137715188026, Kramgasse 16
46.94804472759716, 7.451082076191416, Kramgasse 20
46.946930368577384, 7.438214032930308, Hirschengraben 3-7
46.947039443565146, 7.4382587117202945, Hirschengraben
46.94762650412408, 7.439398728311062, comment
46.94636374826755, 7.44131449609995, Bundesgasse 3
46.946540220017454, 7.442373968660832, Bundesgasse 1
46.94690781040662, 7.450157403945924, default
46.946636810015534, 7.4510371685028085, default
46.94905013006854, 7.442418895661832, Neuengasse 24
46.949014883195225, 7.441700398921967, Neuengasse 39/41
46.94795815284361, 7.447868809103967, Zytglogge
46.94790482368505, 7.447992861270905, Bim Zytglogge 1
46.947878273526214, 7.4482154846191415, Kramgasse 87 Hotelgasse 1
46.94800003793947, 7.448381781578065, default
46.94788010457205, 7.4483777582645425, Kramgasse 81
46.947870949342146, 7.449289709329605, Kramgasse 61
46.947875526957304, 7.4494653940200815, Kramgasse 59
46.94798722064585, 7.450139936533647, default
46.94786362515708, 7.450074255466461, Kramgasse 45
46.94786270963388, 7.450801134109498, Kramgasse 29
46.94787461143431, 7.451743930578233, Kramgasse 9
46.94936323114521, 7.445977181196214, default
46.94942365394918, 7.446071729063989, default
46.94936963962764, 7.445977851748467, Predigergasse 4-10
46.948851465570144, 7.443329170346261, Neuengasse 8
46.947291012756395, 7.451042868196965, default
46.94717260951508, 7.451054938137532, default
46.946997063130006, 7.450848072767259, default
46.94702821841117, 7.451076731085778, default
46.946510232905375, 7.451369762420655, default
46.94659820151151, 7.452354133129121, default
46.94741007161492, 7.450498044490815, default
46.94693647739566, 7.448224326520831, default
46.94780789136318, 7.448025718331338, default
46.947557277752665, 7.448047846555711, default
46.946466822650905, 7.448390498757363, default
46.94437962443354, 7.448865920305253, default
46.94854928491052, 7.448711693286897, default
